	Kingdom	Phylum	Class	Order	Family	Genus	Species
NODE_181_length_1125_cov_4.525763_Ba20_KC_P05	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	unclassified	Menghai flavivirus
NODE_479_length_725_cov_2.348765_Ba20_KC_P06	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	unclassified	Menghai flavivirus
NODE_782_length_669_cov_2.055743_Ba20_KC_P06	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	unclassified	Menghai flavivirus
NODE_421_length_832_cov_1.931126_Ba20_KC_P07	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	unclassified	Menghai flavivirus
NODE_1044_length_674_cov_2.926298_Ba20_KC_P07	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	unclassified	Menghai flavivirus
NODE_1_length_11965_cov_514.213156_Ba20_KC_P12	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Rhabdoviridae	Ohlsrhavirus	Ohlsdorf ohlsrhavirus (BMRV)
NODE_486_length_692_cov_2.993496_Bu20_KC_P37	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	unclassified	Orthomyxoviridae sp.
NODE_607_length_654_cov_2.265165_Bu20_KC_P37	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	unclassified	Orthomyxoviridae sp.
NODE_869_length_597_cov_2.061538_Bu20_KC_P37	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	unclassified	Orthomyxoviridae sp.
NODE_909_length_588_cov_3.628180_Bu20_KC_P37	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	unclassified	Orthomyxoviridae sp.
NODE_852_length_766_cov_1.747460_Ya20_KC_P47	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	unclassified	Hattula totivirus 3
NODE_752_length_859_cov_5.143223_Ba20_KC_P05	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Phasi Charoen-like phasivirus
NODE_2_length_6497_cov_134.136137_Ba20_KC_P12	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phasmaviridae	unclassified	Orthophasmavirus coredoense
NODE_9_length_2232_cov_34.634339_Ba20_KC_P12	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phasmaviridae	unclassified	Orthophasmavirus coredoense
NODE_11_length_2174_cov_563.975203_Ba20_KC_P12	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phasmaviridae	unclassified	Orthophasmavirus coredoense
NODE_327_length_879_cov_2.426434_Ba20_KC_P07	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	unclassified	unclassified	San Gabriel mononegavirus
NODE_1097_length_667_cov_1.806780_Ba20_KC_P07	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	unclassified	unclassified	San Gabriel mononegavirus
NODE_1364_length_636_cov_4.030411_Ba20_KC_P07	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	unclassified	unclassified	San Gabriel mononegavirus
NODE_705_length_649_cov_1.984266_Ba20_KC_P08	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	unclassified	unclassified	San Gabriel mononegavirus
NODE_54_length_749_cov_8.479167_Ba20_KC_P12	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Redbank virus
NODE_2_length_3985_cov_17.271494_Ba20_KC_P07	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Sedoreoviridae	Orbivirus	Hubei odonate virus 15
NODE_11_length_1881_cov_681.693459_Ba20_KC_P05	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Salarivirus Mos8CM0 (BMBV1)
NODE_63_length_1380_cov_395.673830_Ba20_KC_P05	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Salarivirus Mos8CM0 (BMBV1)
NODE_102_length_1246_cov_468.492729_Ba20_KC_P05	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Salarivirus Mos8CM0 (BMBV1)
NODE_1_length_6602_cov_272.746667_Ba20_KC_P06	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Salarivirus Mos8CM0 (BMBV1)
NODE_56_length_954_cov_2.206385_Ba20_KC_P09	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Salarivirus Mos8CM0 (BMBV1)
NODE_1140_length_568_cov_2.313646_Ba20_KC_P09	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Salarivirus Mos8CM0 (BMBV1)
NODE_208_length_531_cov_2.136564_Ba20_KC_P11	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Salarivirus Mos8CM0 (BMBV2)
NODE_209_length_531_cov_1.350220_Ba20_KC_P11	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Salarivirus Mos8CM0 (BMBV2)
NODE_1_length_7712_cov_30.506614_Ba20_KC_P13	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Salarivirus Mos8CM0 (BMBV2)
NODE_8_length_1833_cov_14.267654_Ba20_KC_P13	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Salarivirus Mos8CM0 (BMBV2)
NODE_14_length_1571_cov_14.861446_Ba20_KC_P13	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Salarivirus Mos8CM0 (BMBV2)
NODE_209_length_974_cov_4.724638_Ba20_KC_P07	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	unclassified	unclassified	San Gabriel mononegavirus
NODE_761_length_724_cov_2.387944_Ba20_KC_P07	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	unclassified	unclassified	San Gabriel mononegavirus
NODE_2083_length_571_cov_2.265182_Ba20_KC_P07	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	unclassified	unclassified	San Gabriel mononegavirus
NODE_2274_length_557_cov_1.581250_Ba20_KC_P07	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	unclassified	unclassified	San Gabriel mononegavirus
NODE_3336_length_505_cov_0.946262_Ba20_KC_P07	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	unclassified	unclassified	Serbia mononega-like virus 1
NODE_12_length_2225_cov_28.108939_Ba20_KC_P08	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Hattula totivirus 3
NODE_2_length_4039_cov_33.190056_Ba20_KC_P13	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Hattula totivirus 3
NODE_2861_length_656_cov_1.620035_Ba20_KC_P05	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Usinis virus
NODE_6135_length_553_cov_2.523109_Ba20_KC_P05	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Usinis virus
